38 Provinsi,
,Indeks Kebahagiaan Menurut Provinsi
,2021
ACEH,71.24
SUMATERA UTARA,70.57
SUMATERA BARAT,71.34
RIAU,71.8
JAMBI,75.17
SUMATERA SELATAN,72.37
BENGKULU,69.74
LAMPUNG,71.64
KEP. BANGKA BELITUNG,73.25
KEP. RIAU,74.78
DKI JAKARTA,70.68
JAWA BARAT,70.23
JAWA TENGAH,71.73
DI YOGYAKARTA,71.7
JAWA TIMUR,72.08
BANTEN,68.08
BALI,71.44
NUSA TENGGARA BARAT,69.98
NUSA TENGGARA TIMUR,70.31
KALIMANTAN BARAT,72.49
KALIMANTAN TENGAH,73.13
KALIMANTAN SELATAN,73.48
KALIMANTAN TIMUR,73.49
KALIMANTAN UTARA,76.33
SULAWESI UTARA,74.96
SULAWESI TENGAH,74.46
SULAWESI SELATAN,73.07
SULAWESI TENGGARA,73.98
GORONTALO,74.77
SULAWESI BARAT,73.46
MALUKU,76.28
MALUKU UTARA,76.34
PAPUA BARAT,74.52
PAPUA BARAT DAYA,-
PAPUA,69.87
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,71.49
